"","scale","cost"
"1",359,0.0256522722609314
"2",368,0.0349973180682281
"3",396,0.0435284544999026
"4",391,0.0403831169530299
"5",409,0.0299512656439848
"6",413,0.0327643398189743
"7",388,0.0335675120007321
"8",376,0.0346297501105659
"9",367,0.025231225720296
"10",356,0.0277060003222899
"11",341,0.0176600985032401
"12",361,0.0317212684966235
"13",358,1.11499258776106
"14",346,200.041380263683
"15",344,55.6051458135744
"16",328,23.4889225053948
"17",343,25.1213751407051
"18",344,33.9318795410744
"19",338,163.88291371941
"20",322,228.785447322647
"21",333,29.9503257526542
"22",344,41.0642645417079
"23",330,8.56130521959216
"24",323,11.1156972761159
"25",300,11.521448790321
"26",290,3.46848019743706
"27",276,4.12347993953625
"28",268,8.38754736143431
"29",258,115.687908900535
"30",250,14.0900978766894
"31",254,3.15010403863569
"32",268,4.83593234153441
"33",274,7.14423681145064
"34",273,14.8992763918171
"35",265,27.3473089850268
"36",265,36.660975168159
"37",280,21.2826557152735
"38",266,23.0885194477135
"39",256,78.3782245949941
"40",253,49.1267588808659
"41",257,35.7563646586659
"42",265,39.4216781986798
"43",266,21.5893587228048
"44",268,19.393470761168
"45",275,26.6335426246145
"46",261,20.2154143777091
"47",271,17.5377636756862
"48",243,22.9262981181507
"49",236,25.5001365367792
"50",255,12.9959959924277
"51",249,22.3480005288891
"52",247,25.1592064149587
"53",236,20.5584159450675
"54",264,24.4028672143745
"55",216,22.3242065232566
"56",213,14.6029779485562
"57",230,15.5544022088718
"58",235,21.3443970033552
"59",223,23.9157607058896
"60",205,18.2736974072747
"61",191,48.4187729064704
"62",213,22.3803396822952
"63",238,19.9884105141955
"64",244,25.6362444107564
"65",243,42.0350822914587
"66",252,31.552376078455
"67",254,11.4040403580088
"68",239,18.327698300497
"69",213,14.1556077269446
"70",223,25.8879201405103
"71",215,43.2161926071441
"72",222,18.5282059742596
"73",226,29.6673926092743
"74",239,41.1309658002399
"75",254,16.8311432344665
"76",250,16.6796596564538
"77",281,19.7136307286163
"78",255,20.6895228649903
"79",267,26.7210070606957
"80",271,28.1597891455946
"81",249,8.77568890951454
"82",261,29.8683058354336
"83",277,66.432762275109
"84",301,28.7274890638947
"85",306,34.0770590567095
"86",296,14.9349664948125
"87",272,14.8575658179014
"88",254,18.995800779768
"89",282,26.1759509803474
"90",262,27.1393743427367
"91",260,30.0388167152566
"92",256,31.406413697533
"93",256,40.5568484932541
"94",248,47.1339111660809
"95",233,27.6323380603073
"96",224,41.0833396454544
"97",244,35.0472846970063
"98",261,4.9239319773103
"99",261,24.5082640435353
"100",284,27.2747428880689
"101",301,31.4052760680548
"102",283,28.361462861342
"103",279,21.415758655969
"104",287,11.1227439025667
"105",265,19.9301243377711
"106",265,36.2462441126799
"107",264,31.0034001488919
"108",275,19.409043212326
"109",270,11.3508825010369
"110",295,26.8000319595626
"111",278,22.4941317111
"112",275,16.7785514350978
"113",274,22.845226840764
"114",273,15.1640657397405
"115",249,16.0550509248707
"116",246,19.9079552843042
"117",244,24.3412229843589
"118",241,23.8720844607616
"119",258,34.8213186339634
"120",276,36.0741496878762
"121",258,51.2929129516471
"122",290,37.2265874136172
"123",268,59.4559691178948
"124",292,14.9113794616195
"125",276,23.5581113107075
"126",270,30.9454364353486
"127",257,44.0966591730429
"128",264,48.8412704119815
"129",239,42.2565965789005
"130",228,29.0411874153358
"131",241,31.2753223109867
"132",220,31.2970914144899
"133",261,14.2077126006436
"134",263,18.943994691399
"135",279,26.0141349094073
"136",294,19.1520578952958
"137",283,19.3669735123286
"138",267,14.7785391597544
"139",267,21.4662885852638
"140",263,19.7882447781536
"141",268,14.9730501700391
"142",283,13.0025550466147
"143",265,19.1241597516421
"144",256,20.9224964363831
"145",257,15.6110236804141
"146",271,33.2499361414961
"147",281,11.6015815986002
"148",294,47.8266981051773
"149",323,22.0173603035116
"150",335,18.1084100402995
"151",339,27.4794081003198
"152",343,25.9591387257196
"153",346,28.0954739461317
"154",337,26.6901275788863
"155",326,55.2643932208407
"156",343,36.3344793615489
"157",350,19.5140922968539
"158",329,18.9072943507119
"159",341,16.0681876701498
"160",337,11.6400956099068
"161",318,20.380854038482
"162",316,19.8314483248897
"163",333,18.4961993686143
"164",342,12.6479628742465
"165",340,22.036003142261
"166",325,20.8041545850482
"167",326,16.5976120056126
"168",311,20.7455016276514
"169",307,28.3805274817543
"170",298,8.9128992142382
"171",307,5.11472577223564
"172",326,6.89558974490891
"173",333,19.8669583789409
"174",333,54.7393274979468
"175",365,35.1365964558398
"176",362,49.4881901900082
"177",364,41.476320541768
"178",368,38.0450521329906
"179",360,24.6638102031811
"180",342,30.5561737448323
"181",341,47.3276004713146
"182",368,4.40256517705948
"183",383,1.53252224574501
"184",383,1.59441834093159
"185",366,6.1349868432263
"186",356,5.02100792692062
"187",346,22.387187374715
"188",368,28.9170820552072
"189",363,26.6282591743643
"190",385,73.4647285613532
"191",397,52.2299390422246
"192",410,11.7395597904968
"193",418,14.2919056254011
"194",402,23.7028532937574
"195",404,21.2464019207959
"196",385,19.4284367885302
"197",394,27.0680622115687
"198",404,17.3777368761946
"199",415,21.492840309017
"200",437,16.7759708978156
"201",446,20.2468637099805
"202",454,24.0314673663756
"203",457,45.6707404487788
"204",453,23.9908083773805
"205",442,19.5684615968126
"206",430,23.1110714982667
"207",426,34.9423987884106
"208",426,4.90558803462558
"209",438,3.63820155234444
"210",454,3.9861277543288
"211",436,9.52292357058651
"212",436,74.0656871662466
"213",434,24.0934886681336
"214",441,31.1457937931121
"215",445,22.4367754712912
"216",438,17.0980534091942
"217",446,31.1773118284017
"218",452,23.6880077488642
"219",435,30.1986507857263
"220",443,36.3528467106626
"221",429,5.3325698315919
"222",438,30.7339976857865
"223",449,61.2586570884842
"224",476,44.7573364892919
"225",469,20.5155226319485
"226",465,27.3043140012194
"227",478,26.084958415251
"228",469,57.7897566779038
"229",444,48.5608257024963
"230",458,46.8553799954849
"231",462,32.5793732441796
"232",460,6.37501436066185
"233",479,10.8299045347154
"234",502,13.3103404004549
"235",483,17.995252273211
"236",485,25.2603142877657
"237",490,31.85963704385
"238",489,24.1601913883802
"239",472,19.5227981965731
"240",480,27.3023821249053
"241",509,14.9887322371554
"242",514,15.7456815997853
"243",527,21.3386662703015
"244",516,12.2556196622143
"245",503,22.8416708558034
"246",492,21.9427835873289
"247",496,22.974805783564
"248",501,18.9053805853259
